voter_id,nombre,partido,dim_1,dim_2,legislatura
P703,Merlín García María del Rosario,Morena,0.878726,-0.477327,LXIV
P704,Mier Velazco Moisés Ignacio,Morena,0.309718,-0.009807,LXIV
P705,Minor Mora Jesús Salvador,Morena,0.309774,-0.008456,LXIV
P706,Mojica Toledo Alejandro,Morena,0.309785,-0.00982,LXIV
P707,Mojica Wences Víctor Adolfo,Morena,0.309785,-0.009823,LXIV
P708,Molina Espinoza Irineo,Morena,0.999695,-0.024684,LXIV
P709,Montes Nieves Jorge Luis,Morena,0.309793,-0.009813,LXIV
P711,Mora García Carmen,Morena,0.309783,-0.009823,LXIV
P712,Mora Ríos María Teresa Rebeca Rosa,Morena,0.456632,-0.05923,LXIV
P713,Morales Elvira Erik Isaac,Morena,0.309785,-0.009823,LXIV
P714,Morales Miranda Flor Ivone,Morena,0.309785,-0.009823,LXIV
P715,Moreno Gil Mario Ismael,Morena,0.309722,-0.00981,LXIV
P716,Novella Macías Oscar Rafael,Morena,0.309727,-0.008469,LXIV
P717,Núñez Alvarez Estela,Morena,0.309776,-0.009814,LXIV
P718,Obrador Narváez Manuela del Carmen,Morena,0.455568,-0.056367,LXIV
P719,Ocampo Manzanares Araceli,Morena,0.309785,-0.009815,LXIV
P720,Ochoa Valdivia Zaira,Morena,0.247614,-0.051248,LXIV
P721,Olvera Bautista Simey,Morena,0.247556,-0.051271,LXIV
P722,Onofre Vázquez Vicente Alberto,Morena,0.456578,-0.059221,LXIV
P723,Orihuela Nava David,Morena,0.309776,-0.009814,LXIV
P724,Ortega Nájera Hilda Patricia,Morena,0.309722,-0.00981,LXIV
P725,Padierna Luna Dolores,Morena,0.309785,-0.009823,LXIV
P726,Palacios Cordero Lucio Ernesto,Morena,0.309785,-0.009823,LXIV
P727,Pani Barragán Alejandra,Morena,0.309719,-0.009811,LXIV
P728,Parra Juárez Inés,Morena,0.309796,-0.009822,LXIV
P729,Pedrero Moreno Humberto,Morena,0.309785,-0.009823,LXIV
P73,Bautista Bravo Juan Angel,Morena,0.309759,-0.009857,LXIV
P730,Pérez Hernández Sergio,Morena,0.456632,-0.05923,LXIV
P731,Pérez López Beatriz Dominga,Morena,0.999773,-0.021304,LXIV
P732,Pérez Rivera Evaristo Lenin,Morena,-0.97349,-0.22873,LXIV
P733,Pérez Segura Laura Imelda,Morena,0.309785,-0.009823,LXIV
P734,Piña Bernal Adela,Morena,0.309776,-0.009814,LXIV
P735,Ponce Cobos Alejandro,Morena,0.309776,-0.009814,LXIV
P736,Ponce Méndez María Geraldine,Morena,0.309722,-0.00981,LXIV
P737,Prado de los Santos Miguel,Morena,0.309754,-0.008509,LXIV
P738,Rabelo Velasco Roque Luis,Morena,0.247755,-0.050068,LXIV
P739,Ramírez Lucero Martha Patricia,Morena,0.309726,-0.009806,LXIV
P740,Ramírez Navarrete Francisco Javier,Morena,0.309717,-0.00981,LXIV
P741,Ramos Cruz Verónica,Morena,0.247548,-0.051287,LXIV
P742,Ramos Ruiz Juan Israel,Morena,0.297431,0.037514,LXIV
P743,Ramos Sotelo Guadalupe,Morena,0.309776,-0.009814,LXIV
P744,Regalado Mardueño Carmina Yadira,Morena,0.309722,-0.00981,LXIV
P745,Reyes Carmona Emmanuel,Morena,-0.450577,-0.60993,LXIV
P746,Reyes Colín Marco Antonio,Morena,0.309785,-0.009823,LXIV
P747,Reyes López Valentín,Morena,0.309717,-0.00981,LXIV
P748,Reyes Miguel Idalia,Morena,0.309776,-0.009814,LXIV
P749,Ríos Fararoni Eulalio Juan,Morena,0.309717,-0.009808,LXIV
P750,Rivera Castillo Fortunato,Morena,0.309729,-0.009797,LXIV
P752,Robles Gutiérrez Beatriz Silvia,Morena,0.309785,-0.009815,LXIV
P753,Robles Ortiz Martha,Morena,0.309785,-0.009823,LXIV
P754,Rodríguez Arellano Ediltrudis,Morena,0.455552,-0.05634,LXIV
P755,Rodríguez González Manuel,Morena,0.309722,-0.00981,LXIV
P756,Rodríguez Ruiz Ana María,Morena,0.309724,-0.009803,LXIV
P757,Rojas Martínez Beatriz,Morena,0.309785,-0.009823,LXIV
P758,Román Ávila María Guadalupe,Morena,0.309736,-0.009802,LXIV
P759,Rosas Martínez Luz Estefanía,Morena,-0.422363,-0.642291,LXIV
P760,Rosas Uribe Erika Mariana,Morena,0.957736,0.287648,LXIV
P761,Ruiz Arias Maximiliano (DECESO),Morena,0.309723,-0.00983,LXIV
P762,Ruiz Lustre Hugo Rafael,Morena,0.297415,0.037501,LXIV
P764,Salinas Narváez Javier,Morena,-0.559345,-0.828935,LXIV
P765,Salvatori Bojalil Nayeli,Morena,0.125088,-0.946841,LXIV
P766,Sánchez Castro Anita,Morena,0.309785,-0.009823,LXIV
P767,Sánchez Galván Miroslava,Morena,0.309722,-0.009803,LXIV
P768,Sánchez Ortiz Graciela,Morena,0.456632,-0.05923,LXIV
P769,Sánchez Rodríguez Juan Pablo,Morena,0.309776,-0.009814,LXIV
P770,Sandoval Soberanes Lucinda,Morena,0.309783,-0.009823,LXIV
P771,Santiago Chepi Azael,Morena,0.916595,-0.399817,LXIV
P772,Santiago Manuel Iran,Morena,0.309733,-0.009831,LXIV
P773,Santiago Marcos Nancy Yadira,Morena,0.309719,-0.009811,LXIV
P774,Santos Díaz Edelmiro Santiago,Morena,0.309722,-0.00981,LXIV
P775,Solís Barrera María Marivel,Morena,0.309785,-0.009823,LXIV
P776,Tellez Infante Jannet,Morena,0.247548,-0.051287,LXIV
P777,Tello Espinosa Claudia,Morena,0.309785,-0.009823,LXIV
P778,Terán Águila Rubén,Morena,0.247556,-0.05127,LXIV
P779,Torres Piña Carlos,Morena,-0.512388,-0.719585,LXIV
P780,Valencia Cruz Rosalba,Morena,0.30972,-0.009805,LXIV
P781,Valles Sampedro Lorenia Iveth,Morena,0.309782,-0.009817,LXIV
P782,Varela López Víctor Gabriel,Morena,0.309719,-0.009811,LXIV
P783,Vargas Hernández Lidia Nallely,Morena,0.309785,-0.009823,LXIV
