partido,org_id,escanos,nominal_pct,shapley_shubik_pct,banzhaf_pct,empirico_pct
Morena,O01,255,51.00,100.00,100.00,96.15
PAN,O04,71,14.20,0.00,0.00,0.00
PVEM,O03,62,12.40,0.00,0.00,23.08
PT,O02,49,9.80,0.00,0.00,23.08
PRI,O05,37,7.40,0.00,0.00,0.00
MC,O06,27,5.40,0.00,0.00,0.00
Independientes,O11,1,0.20,0.00,0.00,1.92
