legislatura,partido,curul_tipo,n_personas,disciplina_mean,disciplina_std,centroid_d1,centroid_d2,std_d1,n_votos_mean
LX,MORENA,mayoria_relativa,89,0.6680404494382023,0.11540833800732898,-0.8466289848344227,-0.002098953812128525,0.21950223952126866,552.056179775281
LX,MORENA,plurinominal,81,0.6632469135802469,0.09109013954103343,-0.7586047386144199,0.05132584768599882,0.3182181149526121,550.604938271605
LX,PAN,mayoria_relativa,138,0.7939601449275363,0.1267141282485464,0.6414167595068898,-0.2113689784009577,0.1713672790513376,487.5652173913044
LX,PAN,plurinominal,104,0.7754509615384616,0.12089211911901404,0.5970268587265107,-0.3148434247498986,0.1335412482921138,517.625
LX,PRI,mayoria_relativa,70,0.66388,0.07099082120705591,-0.04681864566909364,0.3497775095907607,0.157068301793527,510.15714285714284
LX,PRI,plurinominal,49,0.6433979591836735,0.08973594943359264,-0.06129356199562424,0.36844532387647494,0.1728302251818673,533.4081632653061
LX,PT,plurinominal,10,0.6940299999999999,0.03785181780457984,-0.9431338028119509,-0.2889957189806678,0.011451737003616562,531.0
LX,PVEM,plurinominal,24,0.7529916666666666,0.0982388567269311,0.1403217305213825,0.7156335560193322,0.10150733976060727,371.25
LXI,MC,plurinominal,6,0.6505166666666666,0.08905188188166867,-0.6683837451610222,0.10941214386805515,0.031134141536262108,734.8333333333334
LXI,MORENA,mayoria_relativa,43,0.6370418604651163,0.09996656401150227,-0.7079825358586966,-0.1535341429536502,0.40866254940432895,605.6511627906976
LXI,MORENA,plurinominal,48,0.6475958333333334,0.09821167317700553,-0.5511884951610222,-0.14612979363194475,0.5341388362575146,601.7916666666666
LXI,PAN,mayoria_relativa,81,0.7054444444444444,0.12121689444957744,0.3574779338513235,-0.7415407326751546,0.3469508615245402,644.5802469135803
LXI,PAN,plurinominal,79,0.7082658227848102,0.12200663799309627,0.3567069636997373,-0.7288514299716072,0.35192563895502316,644.1645569620254
LXI,PRI,mayoria_relativa,219,0.7001780821917808,0.12342061399042319,0.20129462013578148,0.2403088151009319,0.4082484829409655,600.8949771689498
LXI,PRI,plurinominal,76,0.6670197368421052,0.1522369977105757,0.18722005747055678,0.2066789684294587,0.3527762527934109,581.7631578947369
