legislatura,total,con_tipo,pct,n_mr,n_pluri,n_suplente
LX,569,569,100.0,301,268,0
LXI,592,592,100.0,351,241,0
LXII,625,625,100.0,357,268,0
LXIII,645,645,100.0,360,285,0
LXIV,597,597,100.0,383,214,0
LXV,597,597,100.0,374,223,0
LXVI,526,526,100.0,323,203,0
