partido,n_legislaturas,leg_first,leg_last,disciplina_first,disciplina_last,delta_disciplina,tendencia,es_dealignment
PAN,7,LX,LXVI,0.786,0.898,0.112,0.027766,False
PVEM,7,LX,LXVI,0.7458,0.9136,0.1678,0.033533,False
PT,6,LX,LXVI,0.6878,0.8975,0.2097,0.056948,False
MORENA,7,LX,LXVI,0.6658,0.9018,0.2361,0.050056,False
PRI,7,LX,LXVI,0.6554,0.899,0.2435,0.040135,False
MC,6,LXI,LXVI,0.6505,0.9118,0.2613,0.053295,False
