leg_pair,overlap_n,disparity,correlation
LX->LXI,0,,
LX->LXII,23,16.411803,0.332984
LXII->LXIII,0,,
LXII->LXIV,24,35.03633,-0.684736
LXIV->LXV,135,171.248938,-0.601241
LXV->LXVI,101,126.391101,-0.607049
