partido,PAN,MORENA,PRI,PVEM,PT,MC
LX (06-09),0.9833752990819689,0.8697715647337758,0.9566582021355152,0.9861485453233154,0.957452068847685,
LXI (09-12),0.9634540983210228,0.8712847146324305,0.9575375844705656,0.9525940371696004,0.8145939125317494,0.9222177340241069
LXII (12-15),0.97869584451723,0.8833069005553502,0.9959399727047766,0.9836942401956407,0.9048754201215626,0.9050283249368734
LXIII (15-18),0.9808423008184977,0.8808106726020927,0.9979333608528232,0.99449485269721,,0.9622689803585006
LXIV (18-21),0.9681574760852751,0.9587469881381635,0.967765126977261,0.9679675392864286,0.976490400598109,0.9824647252188013
LXV (21-24),0.9947756192066706,0.9685211045086506,0.9915742686776141,0.9979121169707225,0.9941097185003157,0.983482270803191
LXVI (24-26),0.9985294076073686,0.9972115555453761,0.9968658357625577,0.997251680969399,0.9913123432062119,0.9894780112820074
