ventana,legislatura,fecha_inicio,fecha_fin,n_eventos,n_legisladores,n_aristas,densidad,peso_promedio,modularidad,n_comunidades,frontera_coalicion
LX (06-09),LX,2006-09-19,2009-04-30,583,594,169484,0.962316,0.8371,0.049855,3,0.751068
LXI (09-12),LXI,2009-10-13,2012-04-30,732,614,179666,0.9547,0.880193,0.025658,3,0.864551
LXII (12-15),LXII,2012-09-28,2015-04-30,675,635,188570,0.936784,0.879811,0.040455,3,0.850561
LXIII (15-18),LXIII,2015-09-24,2018-04-26,706,664,201339,0.914695,0.924114,0.043574,3,0.918966
LXIV (18-21),LXIV,2018-09-13,2021-04-30,696,623,184514,0.952316,0.900038,0.033322,2,0.860392
LXV (21-24),LXV,2021-09-07,2024-04-30,683,666,206901,0.934322,0.90325,0.042876,3,0.883464
LXVI (24-26),LXVI,2024-09-03,2026-03-11,224,535,142215,0.99559,0.810434,0.074582,2,0.550455
