voter_id,nombre,partido,dim_1,dim_2,legislatura
P00216,Garmendia Hernández Yolanda Mercedes,PAN,0.722492,0.16539,LX
P00217,Gómez Leyva Silvio,PAN,0.735718,-0.236089,LX
P00218,González Betancourt Jorge Justiniano,PAN,0.779264,-0.094547,LX
P00219,González Martínez María Gabriela,PAN,0.566594,-0.439968,LX
P00220,González Morán Martín Oscar,PAN,0.851761,-0.212778,LX
P00221,González Roaro Benjamín Ernesto,PAN,0.556905,-0.460969,LX
P00222,González Ruiz Felipe,PAN,0.833142,-0.553059,LX
P00223,González Sánchez Ma. Dolores,PAN,0.770083,-0.468303,LX
P00224,Gudiño Ortíz Francisco Javier,PAN,0.745095,-0.178607,LX
P00225,Guerrero Torres José Gildardo,PAN,0.513799,-0.813144,LX
P00226,Gutiérrez Lagunes María Victoria,PAN,0.941799,0.035008,LX
P00227,Hernández Núñez Elia,PAN,0.513575,-0.801841,LX
P00228,Hurtado Pérez Nelly Asunción,PAN,0.954633,-0.227375,LX
P00229,Iragorri Durán Enrique,PAN,0.843253,-0.243246,LX
P00230,Jiménez Ramos María Esther,PAN,0.646299,-0.084321,LX
P00231,Jiménez del Castillo Ma. de los Ángeles,PAN,0.763348,-0.487617,LX
P00232,Joaquín Coldwell Addy Cecilia,PAN,0.832579,-0.506815,LX
P00233,Lagunes Viveros Violeta del Pilar,PAN,0.531067,-0.51252,LX
P00234,Landeros González Ramón,PAN,0.775858,-0.380056,LX
P00235,Lara Compeán David,PAN,0.672162,0.093242,LX
P00236,Larios Córdova Héctor,PAN,0.552677,-0.516505,LX
P00237,Laviada Hernández Iñigo Antonio,PAN,0.999508,-0.031364,LX
P00238,Lemus Muñoz Ledo Ramón Ignacio,PAN,0.444952,-0.871361,LX
P00239,Leura González Agustín,PAN,0.794176,-0.400001,LX
P00240,Lezama Aradillas René,PAN,0.88178,-0.101562,LX
P00241,Limas Frescas María Soledad,PAN,0.865497,-0.489443,LX
P00242,Lizaola de la Torre Alonso Manuel,PAN,0.60744,-0.579859,LX
P00243,López Cisneros José Martín,PAN,0.687176,-0.143907,LX
P00244,López Reyna Omeheira,PAN,0.580383,-0.589593,LX
P00245,López Silva Rubí Laura,PAN,0.933751,-0.262078,LX
P00246,Ludlow Kuri Lorenzo Daniel,PAN,0.736576,-0.201155,LX
P00247,Lujano Nicolás Christian Martín,PAN,0.569117,-0.504077,LX
P00248,Maawad Robert Luis Xavier,PAN,0.822421,-0.127801,LX
P00249,Macías Zambrano Gustavo,PAN,0.733959,-0.229073,LX
P00250,Madrazo Limón Carlos,PAN,0.760486,-0.616643,LX
P00251,Magallón Arceo Leonardo Melesio de J.,PAN,0.714294,0.054767,LX
P00252,Malagón Ríos Martín,PAN,0.78087,-0.44957,LX
P00253,Maldonado González David,PAN,0.697373,0.031851,LX
P00254,Manuell-Gómez Angulo Dolores De María,PAN,0.979978,0.199105,LX
P00255,Martínez Valero Dora Alicia,PAN,0.667436,-0.744661,LX
P00256,Medellín Varela Antonio,PAN,0.765127,-0.167228,LX
P00257,Medina Macias Alma Hilda,PAN,0.823129,-0.567854,LX
P00258,Medina Rodríguez Lizbeth,PAN,0.583348,-0.116636,LX
P00259,Mejía García Luis Alonso,PAN,0.6862,-0.316139,LX
P00260,Méndez Meneses Apolonio,PAN,0.729407,-0.577187,LX
P00261,Mendoza Morales Lucía Susana,PAN,0.601863,-0.260089,LX
P00262,Minjares Jiménez José Manuel,PAN,0.505314,-0.688894,LX
P00263,Mohamar Dainitin Oscar Miguel,PAN,0.978264,-0.207365,LX
P00264,Mollinedo Hernández Agustín,PAN,0.783777,-0.427286,LX
P00265,Monraz Ibarra Miguel Ángel,PAN,0.883115,-0.228526,LX
P00266,Morales Ramos José Nicolás,PAN,0.829075,-0.290822,LX
P00267,Morelos Borja María Esperanza,PAN,0.688253,0.046473,LX
P00268,Moreno Álvarez Mario Eduardo,PAN,0.781944,-0.481931,LX
P00269,Morgan Franco Rocío del Carmen,PAN,0.635991,-0.771693,LX
P00270,Murillo Flores Francisco Javier,PAN,0.692556,-0.677257,LX
P00271,Murillo Torres José Luis,PAN,0.929396,-0.369085,LX
P00272,Muñoz Serrano José Antonio,PAN,0.525674,-0.58893,LX
P00273,Navarro Sugich Carlos Alberto,PAN,0.51235,-0.858776,LX
P00274,Noriega Blanco Vigil Ma. Elena de las N.,PAN,0.518965,-0.51365,LX
P00275,Olvera Higuera Edgar Armando,PAN,0.556989,-0.489548,LX
P00276,Orozco Ruiz Velazco Marco Heriberto,PAN,0.922537,-0.214665,LX
P00277,Ortega Martínez Ma. del Pilar,PAN,0.704892,-0.709313,LX
P00278,Ortíz Hernández Eduardo,PAN,0.916333,-0.014633,LX
P00279,Oviedo Oviedo Ernesto,PAN,0.999764,-0.02172,LX
P00280,Paredes Rodríguez Francisco Javier,PAN,0.964733,-0.205627,LX
P00281,Parra Jiménez Dolores Ma. del Carmen,PAN,0.7472,-0.088658,LX
P00282,Parra Noriega Luis Gustavo,PAN,0.699034,-0.139479,LX
P00283,Pérez Cuéllar Cruz,PAN,0.603035,-0.414586,LX
P00284,Peyrot Solís Marco Antonio,PAN,0.809393,-0.415201,LX
P00285,Plascencia Alonso Francisco Javier,PAN,0.773731,-0.380416,LX
P00286,Priego Tapia Gerardo,PAN,0.706828,-0.643004,LX
P00287,Pulido Pecero Pedro,PAN,0.77653,-0.36598,LX
P00288,Quintero Bello Jorge,PAN,0.880762,-0.101215,LX
P00289,Ramírez Barba Ector Jaime,PAN,0.693436,-0.680715,LX
P00290,Ramírez Villarreal Gustavo,PAN,0.742299,-0.549246,LX
P00291,Ramos Covarrubias Héctor Manuel,PAN,0.947123,-0.210012,LX
P00292,Reyes López Carlos Armando,PAN,0.773769,-0.534962,LX
P00293,Rincón Vargas Mirna Cecilia,PAN,0.950186,-0.213336,LX
P00294,Rivera Rivera José Guadalupe,PAN,0.56582,-0.442534,LX
P00295,Rivero Rivero Rolando,PAN,0.85434,-0.408271,LX
P00296,Rodríguez Ahumada Luis Fernando,PAN,0.687673,0.052936,LX
P00297,Rodríguez Jiménez Ricardo,PAN,0.603873,-0.495205,LX
P00298,Rodríguez Prats Juan José,PAN,0.610394,-0.792098,LX
P00299,Rodríguez Uresti Enrique,PAN,0.57701,-0.416902,LX
P00300,Rodríguez Vizcarra Velázquez Adriana,PAN,0.494676,-0.488817,LX
P00301,Rojas Hernández Laura Angélica,PAN,0.539818,-0.548194,LX
P00302,Román Isidoro Demetrio,PAN,0.903477,-0.22971,LX
P00303,Romo Jiménez Martha Angélica,PAN,0.583543,-0.281754,LX
P00304,Rubio Chávez José Ignacio Alberto,PAN,0.543064,-0.507588,LX
P00305,Rueda Gómez Francisco,PAN,0.833854,-0.551985,LX
P00306,Ruiz Velasco de Lira Ernesto,PAN,0.551468,-0.450396,LX
P00307,Salas Contreras Marcos,PAN,0.85713,-0.186748,LX
P00308,Salazar Madera Mario Alberto,PAN,0.792899,-0.33109,LX
P00309,Salum del Palacio Jorge Alejandro,PAN,0.761624,-0.15217,LX
P00310,Sánchez Domínguez Alejandro,PAN,0.750305,9e-06,LX
P00311,Sánchez Díaz de Rivera Antonio,PAN,0.567714,-0.430905,LX
P00312,Sánchez Gil Carlos René,PAN,0.768988,-0.395519,LX
P00313,Sánchez Juárez Claudia,PAN,0.522507,-0.588551,LX
P00314,Sánchez Trujillo José Víctor,PAN,0.879008,0.278295,LX
P00315,Sandoval Munguía Juan Manuel,PAN,0.82056,-0.571561,LX
P00316,Solano Muñoz José de Jesús,PAN,0.775138,-0.374071,LX
P00317,Stefanonni Mazzocco Martín,PAN,0.860283,-0.189081,LX
P00318,Tamayo Herrera Yadhira Yvette,PAN,0.523663,-0.585054,LX
P00319,Torres Gómez Artemio,PAN,0.940003,-0.341165,LX
P00320,Torres Herrera Víctor Manuel,PAN,0.86493,-0.068152,LX
P00321,Torres Torres Carlos Alberto,PAN,0.743227,0.126421,LX
P00322,Valenzuela  García María Gloria Guadalupe,PAN,0.893129,-0.314508,LX
P00323,Valladolid Rodríguez Antonio,PAN,0.83023,-0.16308,LX
P00324,Vasconcelos Rueda Antonio,PAN,0.755244,0.224609,LX
P00325,Vázquez Martínez Alberto,PAN,0.786251,-0.425921,LX
P00326,Vega Corona Antonio,PAN,0.853304,-0.215498,LX
P00327,Velázquez Gutiérrez José Guillermo,PAN,0.929647,-0.368452,LX
P00328,Verástegui Ostos César Augusto,PAN,0.936269,-0.146935,LX
P00329,Verdín Saldaña Jaime,PAN,0.715666,-0.054567,LX
P00330,Victoria Alva Juan,PAN,0.783289,-0.0378,LX
P00331,Vieyra Olivares Adriana Rebeca,PAN,0.79728,-0.390322,LX
P00332,Villanueva Arjona Juan Manuel,PAN,0.916679,-0.399625,LX
P00333,Zambrano Elizondo Javier Martín,PAN,0.889689,-0.308751,LX
