legislatura,n_legisladores,n_votaciones,classification_rate,apre,gmp,beta,w,iteraciones,convergio,lopsided_threshold
LX,569,215,0.9736,0.8922,0.9361,30.0,0.66,100,False,0.975
LXI,592,264,0.9681,0.78,0.9276,30.0,0.7,100,False,0.975
LXII,625,270,0.9797,0.8835,0.9514,30.0,0.56,100,False,0.975
LXIII,645,158,0.9808,0.8921,0.9513,30.0,0.61,100,False,0.975
LXIV,597,194,0.9653,0.8549,0.9209,30.0,0.7,100,False,0.975
LXV,597,137,0.9864,0.9622,0.9693,30.0,0.66,100,False,0.975
LXVI,526,111,0.9907,0.9599,0.9875,30.0,0.98,100,False,0.975
