partido,PRD,PRI,PAN,PVEM,PT,Independientes,MC,MORENA
LX+ (2006-09-29 a 2010-04-29),0.8739999553755765,0.9281303495101013,0.9740223614396956,0.9301734629865269,0.8494006253750415,0.7893238447684282,0.9787606837606837,
LXII (12-13),0.9177881555932244,0.9971710264824828,0.9799596170394659,0.9806590277200258,0.9217178264702492,0.9872544757748404,0.9183286764292,
LXIII+ (2015-10-15 a 2019-04-24),0.955627721740003,0.9986453417357969,0.9755510776817764,0.962990399630334,0.9677736012185811,0.881915366025042,0.97441991624584,0.9729832308566707
LXV (21-23),,0.9827569501963946,0.9974092899021612,0.998656304726345,0.9927154759209208,,0.9875961923127339,0.9885170894467432
LXVI (24-26),,0.9966040753381771,0.9984505055117726,0.9987577512487779,0.9901614786478748,,0.9883226231593872,0.9971069958787945
