voter_id,nombre,partido,dim_1,dim_2,legislatura
P00792,"Martínez Martínez, José María",PAN,0.065424,0.997857,LXII
P00793,"Mayans Canabal, Fernando Enrique",MORENA,0.827755,-0.268913,LXII
P00794,"Mayans Canabal, Humberto Domingo",PRI,-0.578047,-0.526381,LXII
P00795,"Mendoza Davis, Carlos",PAN,0.058262,0.904022,LXII
P00796,"Mendoza Díaz, Sonia",PAN,0.154367,0.964094,LXII
P00797,"Mendoza Mendoza, Iris Vianey",MORENA,0.746595,-0.354437,LXII
P00798,"Monreal Ávila, David",PT,0.949507,-0.03425,LXII
P00799,"Morón Orozco, Raúl",MORENA,0.815341,-0.474841,LXII
P00800,"Orihuela Bárcenas, José Ascención",PRI,-0.575827,-0.522298,LXII
P00801,"Orozco Sandoval, Martín",PAN,0.186981,0.932509,LXII
P00802,"Ortiz Domínguez, Maki Esther",PAN,0.159544,0.565356,LXII
P00803,"Ortiz González, Graciela",PRI,-0.567599,-0.499575,LXII
P00804,"Padierna Luna, María de los Dolores",MORENA,0.746692,-0.284071,LXII
P00805,"Palafox Gutiérrez, Martha",PT,0.896011,0.038439,LXII
P00806,"Pavlovich Arellano, Claudia Artemiza",PRI,-0.567489,-0.497691,LXII
P00807,"Pedraza Chávez, Isidro",MORENA,0.581439,-0.467415,LXII
P00808,"Pedroza Gaitán, César Octavio",PAN,0.219501,0.749384,LXII
P00809,"Penchyna Grub, David",PRI,-0.568685,-0.503926,LXII
P00810,"Pérez Magaña, Eviel",PRI,-0.580583,-0.519979,LXII
P00811,"Pineda Gochi, Ma. del Rocío",PRI,-0.563762,-0.495037,LXII
P00812,"Pozos Lanz, Raúl Aarón",PRI,-0.565314,-0.49922,LXII
P00813,"Preciado Rodríguez, Jorge Luis",PAN,0.174148,0.902153,LXII
P00814,"Puente Salas, Carlos Alberto",PVEM,-0.565613,-0.498645,LXII
P00815,"Ramírez Hernández, Sofío",PRI,0.616527,-0.786723,LXII
P00816,"Ríos de la Mora, Itzel Sarahí",PRI,-0.442987,-0.358478,LXII
P00817,"Ríos Piter, Armando",MORENA,0.623875,-0.480307,LXII
P00818,"Robledo Aburto, Zoé",MORENA,0.626802,-0.443379,LXII
P00819,"Robles Montoya, Ángel Benjamín",MORENA,0.615047,-0.585939,LXII
P00820,"Rojas Hernández, Laura Angélica",PAN,0.24124,0.558546,LXII
P00821,"Romero Celis, Mely",PRI,-0.565499,-0.498926,LXII
P00822,"Romero Deschamps, Carlos",PRI,-0.517471,-0.496228,LXII
P00823,"Romero Hicks, Juan Carlos",PAN,0.270195,0.877641,LXII
P00824,"Romero Lainas, Adolfo",MORENA,0.613869,-0.714546,LXII
P00825,"Romo Medina, Miguel",PRI,-0.564087,-0.497403,LXII
P00826,"Rosas González, Óscar Román",PRI,-0.571843,-0.510901,LXII
P00827,"Ruffo Appel, Ernesto",PAN,0.321086,0.848931,LXII
P00828,"Salazar Fernández, Luis Fernando",PAN,0.044658,0.817292,LXII
P00829,"Salazar Solorio, Rabindranath",MORENA,0.852243,-0.523146,LXII
P00830,"Saldaña Pérez, María Lucero",PRI,-0.563403,-0.47596,LXII
P00831,"Salinas Sada, Ninfa",PVEM,-0.574306,-0.50827,LXII
P00832,"Sánchez Jiménez, Luis",MORENA,0.692099,-0.440061,LXII
P00833,"Sansores San Román, Layda",PT,0.998168,0.060511,LXII
P00834,"Tello Cristerna, Alejandro",PRI,-0.566095,-0.499774,LXII
P00835,"Torres Corzo, Teófilo",PRI,-0.567277,-0.493644,LXII
P00836,"Torres Graciano, Fernando",PAN,0.177022,0.863332,LXII
P00837,"Vega Casillas, Salvador",PAN,0.153534,0.581269,LXII
P00838,"Yunes Landa, Héctor",PRI,-0.571509,-0.501325,LXII
P00839,"Yunes Márquez, Fernando",PAN,0.065387,0.961788,LXII
P00840,"Zamora Jiménez, Arturo",PRI,-0.418514,-0.377078,LXII
P00841,"Barrales Magdaleno, María Alejandra",MORENA,0.597934,-0.424796,LXII
P00842,"Lozano Alarcón, Javier",PAN,0.062546,0.963668,LXII
P00843,"Merodio Reza, Lilia Guadalupe",PRI,-0.773924,-0.633276,LXII
