partido,PAN,PRI,MORENA,PVEM,MC,PT
LX (06-09),0.8709459680180184,0.9008875207636541,0.8638497419075388,0.7984090849495511,,
LXI (09-12),0.8806660912596415,0.9064997698080342,0.9017756103731936,0.9267267405347848,0.9717743876974062,
LXII (12-15),0.9354369537622547,0.9899935103266029,0.8975823997455834,0.9997077725229082,,0.9375743022838365
LXIII (15-18),0.9480497944370563,0.9973384486540507,0.912724225255957,1.0,,0.9032887518483637
LXIV (18-21),0.9487860850383529,0.9653232507169177,0.9506000068143494,0.9327123109135934,0.9738151438637395,0.9695687958792637
LXV (21-24),0.9532592574666819,0.9475273045124699,0.9520649785355669,0.9680833458164437,0.9658694076015498,0.9736971381644846
LXVI (24-26),0.9796307163516118,0.9919773751674766,0.9788519474524287,0.9799604142399507,0.980561025771271,0.9969843689910961
