legislator_id,nombre,partido,partido_id,comunidad,degree_centrality,betweenness_centrality,covotacion_intra_partido,covotacion_inter_partido_prom
P02522,"Guerra Mena, Juanita",PVEM,O13,0,0.32134834216202285,1.071961444910663e-05,0.964047693959322,0.49056771397552124
P02523,"Gutiérrez Escalante, Mariela",MORENA,O11,0,0.32173057163713986,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02524,"Hernández Aceves, Ana Karen",PT,O14,0,0.2988115475702376,5.193783178809909e-06,0.934364852785745,0.47541593044951413
P02525,"Hernández Mora, Citlalli",MORENA,O11,0,0.26358676669160747,2.62184431540892e-08,0.9842419234020032,0.48109562105233705
P02526,"Hernández Villafuerte, Gilberto",PVEM,O13,0,0.3201991956176823,1.071961444910663e-05,0.964047693959322,0.49056771397552124
P02527,"Herrera Dagdug, José Sabino",MORENA,O11,0,0.32034652464801483,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02528,"Huerta Ladrón de Guevara, Manuel",MORENA,O11,0,0.32092785173701405,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02529,"Inzunza Cázarez, Enrique",MORENA,O11,0,0.37358043364876053,0.0007514480830264333,0.9842419234020032,0.48109562105233705
P02530,"Jarero Velázquez, Miguel Pavel",MORENA,O11,0,0.3172980528915232,9.442144810855427e-06,0.9842419234020032,0.48109562105233705
P02531,"Kantún Can, María Martina",MORENA,O11,0,0.32248586599167145,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02532,"Loera de la Rosa, Juan Carlos",MORENA,O11,0,0.32148324343398793,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02533,"Lomelí Bolaños, Carlos",MORENA,O11,0,0.3210219056759661,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02534,"López Castro, Cynthia Iliana",MORENA,O11,0,0.30734998792214757,9.442144810855427e-06,0.9842419234020032,0.48109562105233705
P02535,"López Hernández, Edith",MORENA,O11,0,0.32143412685971484,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02536,"Magaña Fonseca, Virginia",PVEM,O13,0,0.3211908370713931,1.071961444910663e-05,0.964047693959322,0.49056771397552124
P02537,"Márquez Márquez, Miguel",PAN,O12,0,0.29250263347565203,0.0004942491432469573,0.9123981773382102,0.4696132912646623
P02538,"Mendoza Amezcua, Virgilio",PVEM,O13,0,0.3206782670748209,6.262334423554415e-06,0.964047693959322,0.49056771397552124
P02539,"Mercado Salgado, Víctor",MORENA,O11,0,0.32023176531045366,7.120652850059589e-06,0.9842419234020032,0.48109562105233705
P02540,"Mier Velazco, Ignacio",MORENA,O11,0,0.3679844587390914,0.0006646961717355574,0.9842419234020032,0.48109562105233705
P02541,"Mojica Morga, Beatriz",MORENA,O11,0,0.31769968000983695,9.442144810855427e-06,0.9842419234020032,0.48109562105233705
P02542,"Morales Toledo, Antonino",MORENA,O11,0,0.3116763150654355,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02543,"Moreno Cárdenas, Alejandro",PRI,O15,0,0.2708704264251965,0.0004504798643017167,0.9556839908588937,0.4718876604060948
P02544,"Ochoa Fernández, Cuauhtémoc",MORENA,O11,0,0.35134804249758766,0.00042593836971981694,0.9842419234020032,0.48109562105233705
P02545,"Olvera Bautista, Simey",MORENA,O11,0,0.3644849566566648,0.0006390812818575165,0.9842419234020032,0.48109562105233705
P02546,"Polevnsky Gurwitz, Yeidckol",PT,O14,0,0.3632848348097166,0.000747401027179347,0.934364852785745,0.47541593044951413
P02547,"Ramírez Acuña, Francisco Javier",PAN,O12,0,0.2890016099816388,0.0006315588000797234,0.9123981773382102,0.4696132912646623
P02548,"Ramírez Padilla, Julieta",MORENA,O11,0,0.31244939293652824,9.09618044569394e-06,0.9842419234020032,0.48109562105233705
P02549,"Reyes Hernández, Ivideliza",PAN,O12,0,0.26915933662632724,8.702206376285531e-06,0.9123981773382102,0.4696132912646623
P02550,"Robles Gutiérrez, Beatriz Silvia",MORENA,O11,0,0.32197215496323855,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02551,"Rodríguez Hernández, Verónica",PAN,O12,0,0.2528485669774037,3.809659247315533e-06,0.9123981773382102,0.4696132912646623
P02552,"Ruiz Ruiz, Karina Isabel",MORENA,O11,0,0.3199671971636585,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02553,"Ruíz Sandoval, Cristina",PRI,O15,0,0.2551427083112394,1.071961444910663e-05,0.9556839908588937,0.4718876604060948
P02554,"Ruvalcaba Gámez, Nora",MORENA,O11,0,0.322569139520468,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02555,"Sánchez García, Lizeth",PT,O14,0,0.3181541915630369,1.071961444910663e-05,0.934364852785745,0.47541593044951413
P02556,"Sánchez Ramos, Paloma",PRI,O15,0,0.25549546122883116,9.442144810855427e-06,0.9556839908588937,0.4718876604060948
P02557,"Sánchez Vásquez, Gustavo",PAN,O12,0,0.23169420721302564,6.22214210743701e-06,0.9123981773382102,0.4696132912646623
P02558,"Sanmiguel Sánchez, Imelda",PAN,O12,0,0.2671933087647982,1.071961444910663e-05,0.9123981773382102,0.4696132912646623
P02559,"Saucedo Reyes, Araceli",MORENA,O11,0,0.31895459880405674,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02560,"Segura Vázquez, Eugenio",MORENA,O11,0,0.31960953827135136,6.262334423554415e-06,0.9842419234020032,0.48109562105233705
P02561,"Sheffield Padilla, Francisco Ricardo",MORENA,O11,0,0.31199107117317465,9.010256215605337e-06,0.9842419234020032,0.48109562105233705
P02562,"Sosa Ruíz, Olga Patricia",MORENA,O11,0,0.31595224556745066,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02563,"Tello Espinosa, Claudia",MORENA,O11,0,0.28260393093546676,9.71246560664497e-07,0.9842419234020032,0.48109562105233705
P02564,"Toledo Zamora, Karla Guadalupe",PRI,O15,0,0.25643540046265645,1.071961444910663e-05,0.9556839908588937,0.4718876604060948
P02565,"Valles Sampedro, Lorenia Iveth",MORENA,O11,0,0.31972751662964644,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02566,"Vargas Del Villar, Enrique",PAN,O12,0,0.2983893912489377,0.0006997845826336035,0.9123981773382102,0.4696132912646623
P02567,"Vázquez Robles, Mario Humberto",PAN,O12,0,0.2664283804614451,1.071961444910663e-05,0.9123981773382102,0.4696132912646623
P02568,"Viggiano Austria, Carolina",PRI,O15,0,0.297131396350186,0.0007163116393761012,0.9556839908588937,0.4718876604060948
P02569,"Vila Dosal, Mauricio",PAN,O12,0,0.24678147149857194,2.895339799171642e-06,0.9123981773382102,0.4696132912646623
P02570,"Yunes Márquez, Miguel Ángel",MORENA,O11,0,0.30995124455766715,8.015205292832672e-06,0.9842419234020032,0.48109562105233705
P02571,"Zapata Bello, Rolando Rodrigo",PRI,O15,0,0.25627961943795186,6.262334423554415e-06,0.9556839908588937,0.4718876604060948
P02572,"Zatarain García, Susana",PAN,O12,0,0.2638257034352728,8.597119193656682e-06,0.9123981773382102,0.4696132912646623
P02573,"Bañuelos De La Torre, Geovanna",PT,O14,0,0.31222935242692895,6.136970791546052e-06,0.934364852785745,0.47541593044951413
P02574,"Monreal Ávila, Saúl",MORENA,O11,0,0.31510801894144974,7.823071328187292e-06,0.9842419234020032,0.48109562105233705
P02575,"Silva Romo, Luis Alfonso",PVEM,O13,0,0.30612837597200904,8.702206376285531e-06,0.964047693959322,0.49056771397552124
P02576,"Murat Hinojosa, Alejandro",MORENA,O11,0,0.31599289467032277,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02579,"Reyes Carmona, Emmanuel",MORENA,O11,0,0.3201261270194169,1.071961444910663e-05,0.9842419234020032,0.48109562105233705
P02580,"Beltrones Rivera, Manlio Fabio",MORENA,O11,0,0.26004840222279285,6.517437905728541e-06,0.9842419234020032,0.48109562105233705
P02581,"Riquelme Solís, Miguel Ángel",PRI,O15,0,0.26160726906158066,1.071961444910663e-05,0.9556839908588937,0.4718876604060948
P02584,"Fierro Campos, Rosa",MORENA,O11,0,0.3041896793887669,1.4317941570700177e-06,0.9842419234020032,0.48109562105233705
P02585,"Castrejón Trujillo, Karen",PVEM,O13,0,0.3435754176773972,0.0003620165086852432,0.964047693959322,0.49056771397552124
P02586,"Chavira De La Rosa, María Guadalupe",MORENA,O11,0,0.30688534539197065,8.672344664984596e-06,0.9842419234020032,0.48109562105233705
P02587,"Chíguil Figueroa, Francisco",MORENA,O11,0,0.3150132604379159,8.672344664984596e-06,0.9842419234020032,0.48109562105233705
P02590,"Ortiz Hernández, Tabita",MC,O16,0,0.21444430719899235,2.5021687339119008e-06,0.9741783347043201,0.47672612796866437
P02594,"Ortiz Pérez, Denisse",PT,O14,0,0.28251171558371363,3.7976323388147514e-07,0.934364852785745,0.47541593044951413
P02595,"Arriaga Márquez, Bertha Estela",PAN,O12,0,0.21609263178388932,2.4118967776123237e-06,0.9123981773382102,0.4696132912646623
P02596,"García López, José Máximo",PAN,O12,0,0.3190960811596135,9.385918559494231e-07,0.9123981773382102,0.4696132912646623
P02598,"Bonilla Herrera, Raquel",MORENA,O11,0,0.3147880033275566,8.205516468018875e-06,0.9842419234020032,0.48109562105233705
P02599,"Evangelista Aniceto, Carlos Alberto",MORENA,O11,0,0.2589056609897787,1.335249704794129e-07,0.9842419234020032,0.48109562105233705
