periodo_origen,periodo_destino,ari
LX (06-09),LXI (09-12),0.3789
LXI (09-12),LXII (12-15),-0.2133
LXII (12-15),LXIII (15-18),0.1752
LXIII (15-18),LXIV (18-21),0.0
LXIV (18-21),LXV (21-24),0.3907
LXV (21-24),LXVI (24-26),0.7791
