legislatura,partido,curul_tipo,n_personas,disciplina_mean,disciplina_std,centroid_d1,centroid_d2,std_d1,n_votos_mean
LX,MORENA,mayoria_relativa,5,0.9190999999999999,0.09863683389079353,0.23464100714285716,0.07031890000000002,0.7775839222397155,433.0
LX,MORENA,plurinominal,8,0.917875,0.0939227608197289,-0.4676685428571429,0.27261704999999997,0.9238212653519619,472.625
LX,PAN,mayoria_relativa,27,0.9221074074074074,0.09377860148704553,-0.052412015079365055,0.07369741111111111,0.7364655754524878,459.81481481481484
LX,PAN,plurinominal,16,0.9176375,0.09459248648809272,-0.12441698035714283,-0.08107332499999997,0.7858576057958777,449.625
LX,PRI,mayoria_relativa,22,0.9517818181818182,0.07987709986129367,0.23740970714285714,-0.025048609090909092,0.612657366183987,494.95454545454544
LX,PRI,plurinominal,14,0.9427357142857142,0.07403681627970748,-0.00343472142857141,-0.3201863428571428,0.666907311985875,435.14285714285717
LXI,MORENA,mayoria_relativa,8,0.935125,0.036171130951156545,0.06501397145527646,0.06470712646969505,0.8272509048020088,357.75
LXI,MORENA,plurinominal,7,0.9212714285714286,0.07150885060106697,-0.14087474950149462,0.03710577366489556,0.8574875971732544,413.0
LXI,PAN,mayoria_relativa,29,0.9115172413793103,0.0953605379185658,0.1861030969111225,-0.08605541628592361,0.7010468145608464,465.7586206896552
LXI,PAN,plurinominal,18,0.9243777777777777,0.06653234114549596,0.17491459553026834,-0.11913705409299702,0.7537382296964092,422.1666666666667
LXI,PRI,mayoria_relativa,23,0.9475608695652175,0.06967604087444089,0.43838783376958546,-0.09529861860525705,0.5690305639499937,472.82608695652175
LXI,PRI,plurinominal,15,0.9321466666666667,0.06685770461709457,0.14168978495160747,-0.2974329928682172,0.6409680674128523,439.26666666666665
LXII,MORENA,mayoria_relativa,5,0.89064,0.03392967727521141,1.074027529843444,-0.5337468863013699,0.11498511193541543,619.6
LXII,MORENA,plurinominal,6,0.9178000000000001,0.09976097433365418,0.9721955965101108,-0.3060812863013698,0.23472037256417833,513.0
LXII,PAN,mayoria_relativa,10,0.92378,0.07596899660022136,0.4361646298434442,0.5348147136986301,0.3111147600891742,363.9
LXII,PAN,plurinominal,13,0.9299,0.04615614801952176,0.43515731445882877,0.6820659444678608,0.20667395712068581,518.8461538461538
LXII,PRI,mayoria_relativa,16,0.981725,0.02367864016365802,-0.1533498826565558,-0.5082054738013698,0.052681056442480674,472.5
LXII,PRI,plurinominal,8,0.978525,0.03144145352874134,-0.2201715701565558,-0.5399487863013699,0.0900261653203429,657.5
LXIII,MORENA,mayoria_relativa,6,0.8823833333333333,0.07316740850041543,-0.4132529644527987,-0.3452495192982455,0.20674338426247169,250.83333333333334
LXIII,PAN,mayoria_relativa,11,0.9535272727272727,0.030357572067248415,0.20237199009265583,0.12428558676236047,0.3565075001851612,326.1818181818182
LXIII,PAN,plurinominal,15,0.9343333333333333,0.037046932910771976,0.40409553554720123,0.24662038070175438,0.5592195270488274,419.6
LXIII,PRI,mayoria_relativa,17,0.9533470588235294,0.0652787208595483,0.6251595943707308,-0.36742609772961804,0.057376992178344646,399.1764705882353
LXIII,PRI,plurinominal,8,0.9781625,0.02539290888079922,0.6223270355472013,-0.3189675609649122,0.039275443382056685,502.125
LXIII,PT,mayoria_relativa,7,0.9535,0.058531359116289094,-0.6041470358813701,0.03765845689223063,0.12283492344858211,180.0
LXIII,PT,plurinominal,5,0.9395,0.058237874274392955,-0.6689936644527986,0.07138511403508777,0.090004006620261,273.0
LXIV,MC,mayoria_relativa,5,0.9515800000000001,0.0383701316130138,-0.3507255397009967,-1.0749181755813952,0.06961371836642546,242.0
LXIV,MORENA,mayoria_relativa,40,0.98323,0.03365503124653322,0.7730490352990034,0.06930317441860462,0.21963940398374032,388.075
LXIV,MORENA,plurinominal,19,0.9840947368421054,0.019799255701055767,0.5674990602990033,0.006968834944920414,0.5623149713718183,384.8421052631579
LXIV,PAN,plurinominal,13,0.9546538461538462,0.02467254261267694,-0.5162320166240737,-0.027180990966010718,0.09914581450609461,304.0769230769231
LXV,MC,mayoria_relativa,5,0.91788,0.09930489413921147,-0.39039100841674246,-0.2034598515923567,0.15987680410021962,413.2
LXV,MORENA,mayoria_relativa,44,0.972634090909091,0.037372380942266296,0.727504687037803,-0.16291832431962938,0.2588254387343465,486.27272727272725
LXV,MORENA,plurinominal,18,0.9727111111111112,0.024965078878279024,0.5423432804721464,-0.1289329960368011,0.598497667470504,508.6111111111111
LXV,PAN,plurinominal,8,0.9384875,0.0348620726168548,-0.5639067334167425,0.14057382340764332,0.08211909147510361,531.25
LXVI,MORENA,mayoria_relativa,27,0.9952185185185185,0.011763177129599633,-0.17713693342393272,-0.19066855900558086,0.054338545212142736,260.25925925925924
LXVI,MORENA,plurinominal,7,0.9954714285714286,0.008245142870343796,0.05247382318982389,-0.1273704849315068,0.6860448758965789,226.28571428571428
LXVI,PAN,mayoria_relativa,5,0.9922599999999999,0.007099859153532557,1.1935742517612524,0.2875899150684932,0.1967707593139793,219.8
LXVI,PAN,plurinominal,8,0.9884625,0.013343905778615637,1.1350056267612525,0.23516251506849312,0.2945395351958897,214.75
LXVI,PRI,plurinominal,5,0.99928,0.0016099689437998807,1.1114530517612524,-0.49592548493150684,0.06446181253036572,154.6
