ventana,legislatura,fecha_inicio,fecha_fin,n_eventos,n_legisladores,n_aristas,densidad,peso_promedio,modularidad,n_comunidades,frontera_coalicion
LX (06-09),LX,2006-09-05,2009-04-30,664,150,10892,0.974676,0.879233,0.025765,2,0.778923
LXI (09-12),LXI,2009-09-14,2012-04-26,842,167,13051,0.941563,0.896158,0.024757,2,0.872141
LXII (12-15),LXII,2012-09-04,2015-04-30,836,146,10375,0.980161,0.860635,0.034386,3,0.816314
LXIII (15-18),LXIII,2015-09-02,2018-04-26,828,174,13950,0.926849,0.911882,0.028886,3,0.899754
LXIV (18-21),LXIV,2018-09-04,2021-08-25,665,215,16042,0.697327,0.855567,0.094947,3,0.855676
LXV (21-24),LXV,2021-09-02,2024-08-14,841,173,13074,0.878747,0.903818,0.036555,3,0.879407
LXVI (24-26),LXVI,2024-09-03,2026-03-25,358,172,11784,0.801306,0.804529,0.121852,3,0.684265
