legislatura,n_legisladores,n_votaciones,classification_rate,apre,gmp,beta,w,iteraciones,convergio,lopsided_threshold
LX,140,174,0.9651,0.8252,0.9317,30.0,0.83,100,False,0.975
LXI,161,191,0.9596,0.8143,0.9149,30.0,0.61,100,False,0.975
LXII,146,303,0.9834,0.9222,0.9618,30.0,0.58,100,False,0.975
LXIII,171,208,0.9696,0.7852,0.9374,30.0,0.61,100,False,0.975
LXIV,172,202,0.9691,0.8879,0.9384,30.0,0.75,100,False,0.975
LXV,157,138,0.9655,0.8799,0.9329,30.0,0.61,100,False,0.975
LXVI,146,145,0.9818,0.9323,0.9737,30.0,1.0,100,False,0.975
