voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P01647,"Rivera Rivera, Ana Lilia",F,mayoria_relativa,LXV,MORENA,Independientes,0.7379893915832575,-0.2671510515923567,0.493407,-0.178154,0.9742,776.0
P01649,"Romo Molina, Eunice Renata",F,plurinominal,LXV,MORENA,,0.8863503915832576,-0.36225305159235666,0.641768,-0.273256,0.9815,757.0
P01651,"Ruiz Massieu Salinas, Claudia",F,,LXV,PRI,Partido Encuentro Social,-0.5483356084167426,-0.2121280515923567,-0.792918,-0.123131,0.8943,246.0
P01653,"Salgado Macedonio, J. Félix",M,mayoria_relativa,LXV,MORENA,Independientes,0.7447203915832574,-0.2392850515923567,0.500138,-0.150288,0.9975,397.0
P01654,"Sánchez García, Cecilia Margarita",F,mayoria_relativa,LXV,MORENA,Independientes,0.4824193915832575,0.8338709484076433,0.237837,0.922868,0.979,525.0
P01655,"Téllez, Lilly",F,,LXV,PAN,Convergencia,-0.7353376084167424,0.11039294840764333,-0.97992,0.19939,0.9694,687.0
P01656,"Trasviña Waldenrath, Jesús Lucía",F,mayoria_relativa,LXV,MORENA,Independientes,0.7245723915832576,-0.21319105159235668,0.47999,-0.124194,0.9674,460.0
P01657,"Valdez Martínez, Lilia Margarita",F,mayoria_relativa,LXV,MORENA,Independientes,0.7402453915832575,-0.2674390515923567,0.495663,-0.178442,0.9857,768.0
P01658,"Vasconcelos, Héctor",M,,LXV,MORENA,Independientes,0.7314313915832575,-0.1477920515923567,0.486849,-0.058795,0.8687,335.0
P01659,"Velasco Coello, Manuel",M,mayoria_relativa,LXV,PVEM,Nueva Alianza,0.6178573915832575,-0.1557530515923567,0.373275,-0.066756,0.986,286.0
P01660,"Villarreal Anaya, Américo",M,mayoria_relativa,LXV,MORENA,Independientes,0.7150213915832575,0.41305194840764325,0.470439,0.502049,1.0,125.0
P01661,"Villegas Canché, Freyda Marybel",F,mayoria_relativa,LXV,MORENA,Independientes,0.7292053915832575,-0.2755640515923567,0.484623,-0.186567,0.9945,361.0
P01662,"Zamora Gastélum, Mario",M,plurinominal,LXV,PRI,Partido Encuentro Social,-0.3853176084167425,0.19727994840764332,-0.6299,0.286277,0.9699,598.0
P01663,"Zamora Guzmán, Rogelio Israel",M,plurinominal,LXV,PVEM,Nueva Alianza,0.7625933915832575,-0.2526830515923567,0.518011,-0.163686,0.9651,459.0
P01664,"Zepeda, Juan",M,,LXV,MC,Sin Partido,-0.6354036084167425,-0.49012905159235665,-0.879986,-0.401132,0.9925,534.0
P01665,"Álvarez Icaza Longoria, Emilio",M,plurinominal,LXV,MORENA,,-0.7516186084167424,-0.1760760515923567,-0.996201,-0.087079,0.9815,648.0
P01666,"Bermúdez Méndez, José Erandi",M,,LXV,PAN,Convergencia,-0.6480326084167425,0.2928029484076433,-0.892615,0.3818,0.8321,667.0
