vote_event_id,result,requirement,asistentes,mayoria_necesaria,a_favor,en_contra,abstencion,ausente,margin,critical_parties,critical_count
VE_S00664,aprobada,mayoria_simple,76,38,74,0,2,0,36,,0
VE_S00665,aprobada,mayoria_simple,75,38,68,7,0,0,30,O15,1
VE_S00666,aprobada,mayoria_simple,74,37,72,0,2,0,35,,0
VE_S00667,aprobada,mayoria_simple,95,48,89,1,5,0,41,,0
VE_S00668,rechazada,mayoria_simple,100,50,44,56,0,0,6,O12|O15|O18,3
VE_S00669,aprobada,mayoria_simple,103,52,75,27,1,0,23,O12|O15,2
VE_S00670,aprobada,mayoria_calificada,105,991,78,27,0,0,-913,O12|O13|O15|O18|O19,5
VE_S00671,aprobada,mayoria_simple,103,52,95,8,0,0,43,,0
VE_S00672,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00673,aprobada,mayoria_simple,92,46,92,0,0,0,46,,0
VE_S00674,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00675,aprobada,mayoria_simple,77,39,77,0,0,0,38,,0
VE_S00676,aprobada,mayoria_simple,78,39,78,0,0,0,39,,0
VE_S00677,aprobada,mayoria_simple,80,40,80,0,0,0,40,,0
VE_S00678,aprobada,mayoria_simple,90,45,88,1,1,0,43,,0
VE_S00679,rechazada,mayoria_simple,80,40,0,80,0,0,40,,0
VE_S00680,aprobada,mayoria_simple,86,43,85,0,1,0,42,,0
VE_S00681,aprobada,mayoria_simple,86,43,86,0,0,0,43,,0
VE_S00682,aprobada,mayoria_simple,87,44,85,0,2,0,41,,0
VE_S00683,aprobada,mayoria_simple,87,44,86,0,1,0,42,,0
VE_S00684,aprobada,mayoria_simple,82,41,81,0,1,0,40,,0
VE_S00685,aprobada,mayoria_simple,73,37,73,0,0,0,36,,0
VE_S00686,aprobada,mayoria_simple,79,40,79,0,0,0,39,,0
VE_S00687,aprobada,mayoria_simple,76,38,73,3,0,0,35,,0
VE_S00688,aprobada,mayoria_simple,74,37,45,8,21,0,8,O12|O15,2
VE_S00689,aprobada,mayoria_simple,83,42,82,0,1,0,40,,0
VE_S00690,aprobada,mayoria_simple,81,41,76,0,5,0,35,,0
VE_S00691,aprobada,mayoria_simple,97,49,53,44,0,0,4,O12|O13|O15|O18,4
VE_S00692,aprobada,mayoria_simple,103,52,81,22,0,0,29,O15,1
VE_S00693,aprobada,mayoria_simple,100,50,75,25,0,0,25,O12|O15,2
VE_S00694,aprobada,mayoria_simple,100,50,72,28,0,0,22,O12|O15,2
VE_S00695,aprobada,mayoria_simple,95,48,93,2,0,0,45,,0
VE_S00696,aprobada,mayoria_simple,107,54,58,49,0,0,4,O12|O15|O18,3
VE_S00697,aprobada,mayoria_simple,116,58,75,41,0,0,17,O12|O15,2
VE_S00698,aprobada,mayoria_simple,104,52,71,30,3,0,19,O12|O15,2
VE_S00699,aprobada,mayoria_simple,107,54,55,50,2,0,1,O12|O15|O18,3
VE_S00700,aprobada,mayoria_simple,105,53,87,15,3,0,34,O15,1
VE_S00701,aprobada,mayoria_simple,100,50,98,0,2,0,48,,0
VE_S00702,aprobada,mayoria_simple,97,49,66,31,0,0,17,O12|O15,2
VE_S00703,aprobada,mayoria_simple,88,44,53,28,7,0,9,O12|O15,2
VE_S00704,aprobada,mayoria_simple,109,55,109,0,0,0,54,,0
VE_S00705,rechazada,mayoria_simple,83,42,26,53,4,0,11,O12|O15,2
VE_S00706,rechazada,mayoria_simple,69,35,17,49,3,0,14,O12|O15,2
VE_S00707,aprobada,mayoria_simple,102,51,102,0,0,0,51,,0
VE_S00708,rechazada,mayoria_simple,82,41,25,52,5,0,11,O12|O15,2
VE_S00709,aprobada,mayoria_simple,97,49,96,0,1,0,47,,0
VE_S00710,aprobada,mayoria_simple,103,52,57,46,0,0,5,O12|O15|O18,3
VE_S00711,aprobada,mayoria_simple,102,51,55,42,5,0,4,O12|O15|O18,3
VE_S00712,aprobada,mayoria_simple,105,53,84,17,4,0,31,O15,1
