legislatura,agreement_rate_mf,pct_favor_m,pct_favor_f,n_events
LX,0.969716,0.925814,0.91954,664
LXI,0.977781,0.93289,0.936688,842
LXII,0.981964,0.914553,0.917706,836
LXIII,0.985818,0.954959,0.959348,828
LXIV,0.978046,0.897217,0.895208,665
LXV,0.986412,0.93964,0.946704,841
LXVI,0.979395,0.876176,0.888874,357
