ventana,legislatura,fecha_inicio,fecha_fin,n_eventos,n_legisladores,n_aristas,densidad,peso_promedio,modularidad,n_comunidades,frontera_coalicion
LX (06-09),LX,2006-09-05,2009-04-30,666,150,10892,0.974676,0.877216,0.026005,3,0.852522
LXI (09-12),LXI,2009-09-14,2012-04-26,844,167,13051,0.941563,0.89614,0.022233,3,0.884966
LXII (12-15),LXII,2012-09-04,2015-04-30,836,146,10375,0.980161,0.860638,0.034386,3,0.81632
LXIII (15-18),LXIII,2015-09-02,2018-04-26,828,174,13950,0.926849,0.911883,0.028886,3,0.899755
LXIV (18-21),LXIV,2018-09-04,2021-08-25,668,215,16042,0.697327,0.855567,0.098742,3,0.805342
LXV+ (2021-12-15 a 2026-03-25),LXV+LXVI,2021-12-15,2026-03-25,1198,319,24572,0.484454,0.856728,0.362113,3,0.851378
