partido,PAN,PRI,MORENA,PVEM,MC,PT
LX (06-09),0.8677149048011302,0.8997444388649524,0.8624187958745468,0.7992606428058837,,
LXI (09-12),0.8805552394754352,0.9065343027659911,0.9017932531012757,0.9268035678909253,0.9718330949617409,
LXII (12-15),0.9354417556508118,0.9899935103266029,0.8975823997455834,0.9997077725229082,,0.9375743022838365
LXIII (15-18),0.948051934648813,0.9973384486540507,0.912724225255957,1.0,,0.9032887518483637
LXIV (18-21),0.9487860850383529,0.9653232507169177,0.9506000068143494,0.9327123109135934,0.9738151438637395,0.9695687958792637
LXV+ (2021-12-15 a 2026-03-25),0.9668701032786884,0.9768003051837455,0.9629235881939324,0.9749303486356953,0.9681081303702693,0.9865288775995564
